Article Lengths,Headline Lengths
319,10
108,11
238,15
449,9
395,20
1305,11
497,10
534,7
279,12
65,11
535,10
201,14
340,15
331,10
88,8
423,10
424,10
185,10
311,20
381,7
926,17
326,13
384,20
612,17
1161,7
212,11
68,10
318,7
243,11
338,9
147,13
139,10
278,8
493,16
164,11
345,10
169,9
787,11
286,8
479,9
498,8
459,13
807,12
289,11
260,8
264,8
195,7
284,9
250,10
385,21
530,10
831,19
247,11
281,14
241,16
750,12
179,8
222,9
152,11
105,11
884,12
254,11
237,9
573,11
179,15
335,10
249,24
397,11
231,9
664,11
492,10
2573,13
318,6
301,8
79,15
166,7
896,9
76,5
259,5
144,15
512,10
119,12
1047,9
320,22
293,8
480,13
172,11
253,8
133,10
194,9
45,9
275,25
161,8
12,9
924,11
391,26
192,12
237,12
313,15
422,16
434,12
612,10
559,11
429,11
174,12
71,14
772,10
239,11
2010,12
127,10
297,16
542,18
438,10
144,8
192,10
303,27
195,7
422,6
545,16
196,11
423,12
415,16
181,9
210,7
139,12
118,26
160,10
154,11
933,9
210,9
272,13
947,7
113,17
53,7
373,15
523,14
236,13
61,8
396,13
477,13
478,8
386,11
474,10
281,9
318,12
243,17
753,8
288,12
642,6
2600,10
625,12
408,8
160,10
101,7
174,23
239,6
31,8
201,7
180,15
455,12
502,12
473,10
212,8
431,16
476,35
233,20
199,11
373,8
312,15
318,8
208,19
351,13
337,9
219,11
812,8
315,17
486,10
558,11
571,9
565,19
817,9
217,8
292,9
463,5
320,10
378,7
203,9
304,10
852,16
379,20
386,12
290,15
101,15
245,7
127,2
237,7
486,18
793,18
102,10
135,11
222,11
243,10
416,10
403,10
418,12
123,12
123,13
525,11
305,11
233,11
450,10
516,11
462,7
180,9
17,8
404,9
387,12
603,8
787,19
424,12
133,10
369,8
287,12
228,16
602,10
203,11
183,11
17,9
520,8
471,9
312,9
397,9
488,12
204,8
382,12
497,8
195,11
473,7
452,10
563,11
249,13
633,11
322,12
185,15
516,14
576,14
833,8
134,8
159,8
221,19
212,8
654,10
249,16
1093,12
361,9
225,14
152,10
663,10
204,11
519,15
355,12
192,11
222,13
218,8
521,7
335,9
486,11
149,14
181,9
447,20
401,8
121,12
233,10
324,7
190,14
182,7
334,13
84,15
12,11
82,12
326,7
240,14
253,13
565,13
309,12
331,9
201,8
816,8
1031,11
220,5
274,11
191,14
476,19
359,7
191,12
95,11
213,16
744,11
334,8
341,10
159,9
350,11
1113,12
285,17
144,11
297,13
151,10
485,9
225,9
625,9
218,10
403,10
234,17
122,8
436,10
467,10
401,16
1162,11
248,9
226,13
190,11
1580,11
224,9
235,9
204,12
195,10
292,12
883,12
264,10
331,13
240,12
193,11
344,9
245,10
120,12
315,14
418,10
317,16
161,8
179,3
326,13
436,3
525,9
125,7
378,6
355,10
225,18
1982,13
178,11
170,10
731,7
306,7
288,8
291,18
589,9
350,9
349,8
556,8
301,11
121,9
359,30
295,13
404,12
480,9
445,9
284,2
272,11
310,9
497,8
299,17
161,5
526,9
257,8
588,12
413,7
121,8
956,7
189,6
234,9
186,7
844,12
11,12
401,8
399,9
207,14
206,14
606,11
767,10
352,9
145,12
138,12
596,10
394,9
134,11
320,14
819,9
496,9
301,13
144,12
404,20
76,15
248,9
630,8
218,6
391,17
361,14
287,11
351,7
257,9
318,11
194,9
227,23
122,15
4,11
375,8
224,11
347,10
161,16
508,13
247,11
189,13
468,8
149,19
348,8
1175,11
265,8
732,9
32,12
667,18
981,10
238,11
475,9
348,10
291,13
249,16
289,12
524,11
132,9
265,6
155,8
245,8
319,11
210,10
291,12
177,12
196,14
213,9
287,14
213,10
382,11
855,19
19,8
335,9
125,16
167,11
310,11
258,12
691,21
412,10
667,17
127,11
170,9
207,4
13,12
324,10
490,8
202,8
163,7
323,12
199,10
541,20
409,11
208,11
170,13
308,18
195,11
87,10
591,5
301,11
369,9
287,8
278,10
516,9
352,14
367,7
197,10
316,21
431,6
148,7
515,11
287,9
262,14
191,15
304,13
427,10
252,19
299,13
114,8
261,12
696,10
368,8
959,31
231,10
180,7
1035,9
243,9
491,6
561,9
228,12
278,21
201,20
409,14
436,7
416,16
186,15
313,13
171,8
506,14
669,7
216,12
517,12
919,12
1489,10
599,10
295,7
267,10
732,11
21,10
212,11
268,14
311,9
531,7
632,9
315,24
199,16
194,11
445,8
227,9
425,14
259,9
362,8
766,12
587,10
317,7
168,8
316,9
391,14
183,12
251,11
176,6
247,8
208,13
270,17
297,12
1352,10
278,12
221,21
142,8
421,11
300,15
531,7
398,24
125,16
275,10
99,16
706,11
451,17
192,12
562,10
341,7
93,9
183,8
321,11
820,14
266,19
430,13
15,11
227,8
295,16
577,8
112,12
662,18
771,10
123,8
359,9
334,13
2129,13
829,9
238,12
367,7
435,8
523,11
380,11
53,16
8,16
166,14
140,11
457,13
353,16
299,9
536,11
604,11
405,10
427,10
32,6
141,12
125,7
9,21
471,5
354,6
168,3
455,11
137,13
692,14
172,9
516,7
235,20
262,8
302,11
278,10
189,9
799,20
231,9
442,8
254,9
55,11
476,10
1106,8
179,11
15,9
731,8
107,11
228,9
414,19
147,6
953,3
1009,16
459,17
531,6
276,10
185,9
411,9
415,13
1268,16
184,13
941,9
449,13
427,18
362,15
140,9
755,13
34,17
180,10
101,10
357,10
681,13
154,9
297,12
272,7
243,11
256,13
318,15
523,20
216,12
151,10
967,12
535,7
12,11
405,14
342,36
213,6
665,8
112,15
253,8
152,10
274,12
20,9
309,11
225,10
196,11
596,9
386,13
326,11
374,10
397,11
196,9
608,14
380,13
341,9
80,24
615,10
320,15
109,10
152,10
171,9
289,10
392,12
520,11
286,14
509,17
274,14
350,13
205,8
390,16
883,10
135,12
140,8
294,18
349,14
459,11
269,21
201,18
521,11
433,16
211,8
392,5
312,8
350,11
441,9
410,23
257,11
195,23
43,9
296,8
209,12
349,6
616,13
38,14
235,7
365,14
112,7
1041,10
189,14
19,13
253,12
341,12
172,12
302,9
543,7
322,12
559,12
1536,16
489,13
557,12
353,7
555,9
1523,8
414,9
578,8
466,10
349,26
136,7
402,11
283,8
968,18
442,15
795,9
389,7
239,12
310,9
234,13
84,5
424,8
178,13
692,11
316,8
204,14
90,15
15,3
96,16
19,14
295,12
193,10
605,9
206,14
1092,11
1072,7
165,12
53,10
155,13
156,14
167,7
317,8
349,9
58,9
96,34
296,9
408,17
140,7
16,14
11,10
216,10
248,8
545,14
443,6
458,8
446,15
385,12
202,8
905,13
146,14
928,9
204,11
251,7
256,10
713,10
425,12
417,9
221,9
203,6
157,12
215,13
15,8
599,7
165,6
14,18
333,11
282,11
151,9
254,10
1344,9
399,19
210,2
111,11
247,6
213,12
98,21
152,8
337,13
263,12
589,12
374,11
191,8
255,9
461,12
791,12
135,16
349,7
90,6
136,7
195,10
654,8
511,10
224,7
407,7
525,10
195,16
269,11
221,9
593,14
332,9
39,10
89,18
231,15
271,9
311,8
894,11
270,13
192,12
644,12
347,12
187,13
131,10
331,10
579,7
602,8
277,10
140,7
392,9
335,9
438,11
162,14
387,14
480,9
252,31
202,13
181,10
145,6
510,8
137,40
120,12
416,11
139,9
286,15
432,8
94,15
366,10
459,8
570,7
549,9
377,12
259,15
274,10
547,12
859,15
658,10
339,15
585,20
301,7
458,10
359,7
276,10
163,20
601,11
413,8
413,7
102,9
380,9
603,10
4788,8
13,8
182,10
32,10
1097,12
583,12
254,10
389,12
289,11
432,6
315,9
433,6
408,6
192,5
430,10
224,8
428,14
248,13
614,11
1967,11
215,7
129,7
408,9
295,10
403,18
158,16
620,13
228,6
94,12
525,10
249,8
373,11
236,11
221,8
263,6
285,5
291,13
238,9
420,5
624,10
344,11
338,13
239,10
1394,13
274,13
608,7
222,10
1472,14
621,8
347,8
158,7
305,8
445,8
71,7
144,10
119,13
1276,15
206,7
258,11
151,7
303,12
305,13
292,12
79,11
138,9
388,9
345,8
917,11
309,12
383,9
594,9
236,15
556,9
328,7
119,7
341,8
428,9
219,14
243,12
220,8
161,11
133,7
512,11
318,9
719,8
462,10
334,9
9,9
249,13
262,9
337,15
8,5
314,5
455,13
146,13
418,9
543,14
245,7
374,11
271,5
194,9
147,11
148,8
490,19
224,2
261,11
438,12
365,11
206,14
19,17
317,11
116,13
225,13
931,15
97,11
264,9
284,9
618,12
796,11
331,12
253,14
206,6
332,16
206,8
647,9
237,10
2243,11
275,12
411,8
365,12
209,14
579,18
325,13
354,15
548,17
245,11
487,9
230,9
451,14
413,8
336,12
181,11
193,17
351,10
212,10
91,11
300,25
195,17
401,11
406,17
333,7
529,11
115,11
237,8
1204,9
214,11
14,12
167,10
66,11
84,11
337,9
198,11
541,18
265,10
304,11
692,9
968,9
418,11
435,15
149,2
641,16
377,16
94,9
475,16
212,7
389,9
114,26
306,20
344,11
302,15
166,10
278,9
288,11
240,8
410,12
302,7
491,10
988,14
482,10
204,10
185,12
463,16
30,8
313,7
525,15
364,15
295,6
369,10
271,14
42,9
356,11
149,9
297,8
227,8
285,13
428,18
452,9
651,11
642,9
117,15
430,7
390,10
128,10
587,10
1059,6
155,12
54,12
113,10
674,19
738,14
242,10
734,8
167,9
332,3
318,7
220,12
347,15
133,9
22,13
518,9
295,9
336,10
623,6
463,8
299,10
74,13
1350,12
289,11
234,14
275,5
118,7
183,7
339,9
13,6
241,17
1039,10
517,10
100,9
930,15
98,2
423,16
523,10
313,11
462,15
9,11
95,9
433,5
148,14
17,9
266,8
205,10
250,13
740,9
172,16
335,12
302,10
232,8
393,12
495,8
285,8
431,16
208,29
438,10
427,9
227,10
241,7
332,16
235,7
1433,5
200,8
478,11
218,12
1803,15
415,12
228,7
381,10
115,8
396,7
478,7
320,11
282,16
504,9
774,17
559,17
207,11
151,10
530,8
513,13
398,3
387,4
122,10
199,13
327,12
93,11
173,8
1198,13
37,12
263,6
145,14
482,12
379,15
284,10
670,10
176,6
503,9
345,6
176,11
344,14
230,11
151,14
166,15
249,6
235,8
159,12
304,15
402,38
298,12
188,14
27,10
89,29
113,4
518,9
345,8
267,8
152,15
307,10
273,6
174,8
394,15
198,9
618,13
553,15
338,16
436,10
613,13
743,15
34,12
334,24
169,12
257,10
1576,12
369,17
414,8
329,9
695,7
518,8
459,13
171,11
383,14
315,17
13,7
201,10
291,18
706,6
234,9
362,9
289,12
253,11
100,12
904,16
248,6
612,12
237,15
525,15
529,10
23,18
215,15
288,15
400,10
178,14
624,13
325,11
215,12
696,11
596,11
815,10
559,9
162,13
186,11
240,6
150,8
652,12
121,8
1024,13
317,14
870,15
17,14
592,16
183,8
193,6
428,11
570,16
313,9
231,15
446,13
341,14
285,11
464,6
275,8
253,9
656,9
195,10
15,10
165,14
224,6
295,7
12,7
179,6
259,10
185,16
93,12
178,10
133,9
160,10
419,15
197,16
263,9
348,7
363,15
248,8
200,11
137,12
175,11
546,11
305,6
330,13
330,18
206,11
293,10
310,8
45,12
106,18
90,12
486,7
386,10
539,17
400,12
193,15
273,30
111,7
61,11
127,11
53,11
1199,16
494,8
243,11
278,4
271,10
394,11
360,6
134,6
421,17
309,8
949,10
1491,9
120,12
283,9
412,16
429,13
412,22
199,7
10,10
83,10
349,14
469,9
322,8
332,14
263,12
320,13
570,15
497,16
16,15
495,11
289,13
763,8
13,9
261,13
277,14
440,8
334,11
207,10
367,5
448,11
276,12
929,17
168,16
128,15
1337,13
168,13
718,12
302,8
332,9
824,15
543,11
453,21
130,7
163,9
983,12
356,13
553,11
365,6
425,13
244,9
110,13
324,16
18,15
116,10
1416,14
318,15
203,17
600,12
185,17
459,20
549,9
251,15
519,4
533,14
337,8
748,16
118,11
322,18
267,15
450,12
272,9
14,22
113,27
382,9
418,10
258,6
971,15
152,23
259,31
247,8
228,6
155,19
228,13
336,7
442,16
243,9
324,7
393,13
185,8
219,13
425,7
534,15
14,9
708,14
1369,14
462,8
168,27
174,9
267,14
705,6
99,17
805,17
871,8
332,13
179,12
896,13
334,9
18,13
277,9
387,14
210,6
784,8
262,15
248,23
728,7
184,11
505,6
277,6
16,13
285,9
798,10
95,14
131,16
479,7
259,7
305,9
174,14
12,9
313,23
441,9
152,7
643,10
479,8
75,15
263,10
299,10
469,7
156,9
174,11
129,11
186,12
600,13
173,12
306,14
851,12
515,7
386,10
408,9
1422,13
263,11
837,7
89,9
153,8
129,12
172,11
326,6
334,12
958,9
263,12
289,9
495,11
314,12
62,17
227,5
96,8
987,13
12,27
135,10
200,9
258,17
199,7
246,17
314,8
629,14
1185,14
783,11
458,11
458,8
143,13
498,9
317,11
112,8
378,14
406,7
289,10
293,7
202,10
271,8
13,13
257,12
460,27
1002,9
139,11
15,8
1800,16
172,14
117,10
149,9
779,9
224,9
259,9
315,13
336,13
11,10
224,10
681,14
214,13
646,8
398,12
55,7
1966,16
335,14
489,9
249,8
882,9
537,9
334,12
556,8
10,11
278,7
800,11
424,14
162,12
237,13
69,11
447,24
706,11
331,7
545,12
213,11
27,9
311,15
12,14
402,10
237,11
485,10
146,9
396,13
219,8
275,12
268,12
511,11
14,13
246,12
345,11
247,16
1046,13
374,14
19,8
271,3
1270,15
20,10
310,32
263,9
505,7
286,6
714,12
276,11
191,7
248,14
276,9
458,12
292,14
288,16
189,19
486,11
702,8
253,11
303,10
1674,12
542,17
235,12
562,12
423,9
182,9
19,14
477,
321,
148,
275,
337,
379,
243,
509,
547,
616,
326,
300,
379,
398,
158,
352,
392,
299,
203,
405,
301,
184,
263,
238,
361,
358,
202,
1547,
363,
646,
881,
430,
375,
504,
96,
